feedback_id,customer_id,feedback_text,timestamp,source,sentiment_label
59,6769,The product was defective upon arrival.,2024-05-02 10:15:12,mobile,negative
60,5178,Customer service was rude.,2024-08-07 02:25:44,email,negative
61,2385,"Everything was perfect, will use again.",2024-09-20 18:45:22,email,positive
62,8013,"Service was fine, but not impressive.",2024-08-20 09:25:33,web,neutral
63,5734,Very satisfied with the product quality.,2023-02-13 13:52:35,web,positive
64,5243,The product works as expected.,2024-09-10 06:42:45,email,neutral
65,8969,The service was outstanding!,2023-11-20 22:22:21,mobile,positive
66,2328,The product was defective upon arrival.,2024-03-27 05:19:07,mobile,negative
67,8783,"Extremely poor quality, not worth the price.",2023-07-11 07:38:18,email,negative
68,9408,Average experience overall.,2024-07-30 00:47:39,email,neutral
69,5119,Very satisfied with the product quality.,2024-09-11 03:49:51,web,positive
70,4919,"Not too bad, but could be better.",2023-04-05 08:20:13,web,neutral
71,5757,"Service was fine, but not impressive.",2023-02-12 16:45:51,email,neutral
72,4432,"It was okay, nothing special.",2023-08-06 05:10:29,email,neutral
73,1408,"Everything was perfect, will use again.",2024-03-15 19:12:33,mobile,positive
74,6823,"Fast and reliable, well done!",2023-12-05 10:33:20,email,positive
75,1706,"Service was fine, but not impressive.",2023-10-03 05:21:45,email,neutral
76,1302,"Everything was perfect, will use again.",2023-02-05 12:43:02,mobile,positive
77,4423,"It was okay, nothing special.",2023-07-15 18:21:46,web,neutral
78,9601,The product works as expected.,2023-02-01 16:35:10,web,neutral
79,1174,"Not too bad, but could be better.",2024-02-10 20:57:15,web,neutral
80,1809,"Fast and reliable, well done!",2024-07-30 13:46:56,web,positive
81,6980,"It was okay, nothing special.",2023-06-17 02:55:11,mobile,neutral
82,5547,"Not too bad, but could be better.",2024-05-08 22:17:14,mobile,neutral
83,1278,The product was defective upon arrival.,2024-05-20 18:41:15,mobile,negative
84,4278,I wouldn't recommend this to anyone.,2024-06-01 00:47:52,mobile,negative
85,5246,I wouldn't recommend this to anyone.,2024-01-25 11:36:32,web,negative
86,7531,The product was defective upon arrival.,2023-11-11 23:39:35,email,negative
87,2452,The product was defective upon arrival.,2024-05-10 21:01:30,email,negative
88,9306,"Extremely poor quality, not worth the price.",2024-02-01 10:05:39,email,negative
89,2590,The product was defective upon arrival.,2023-12-25 00:38:01,email,negative
90,5370,"Fast and reliable, well done!",2023-07-18 00:10:47,web,positive
91,3439,"Service was fine, but not impressive.",2024-09-09 05:32:31,email,neutral
92,5684,"Extremely poor quality, not worth the price.",2024-08-21 21:03:26,email,negative
93,1911,"Terrible experience, very disappointed.",2024-03-14 13:23:32,email,negative
94,4254,The product works as expected.,2024-07-20 00:57:49,email,neutral
95,5365,"Fast and reliable, well done!",2023-11-25 15:21:42,mobile,positive
96,8301,"Fast and reliable, well done!",2023-08-28 02:39:02,web,positive
97,9167,Average experience overall.,2024-09-04 22:00:04,web,neutral
98,3664,Customer service was rude.,2023-07-25 13:28:42,web,negative
99,3871,"It was okay, nothing special.",2023-07-12 00:28:45,web,neutral
100,7625,Customer service was rude.,2023-01-20 03:07:46,mobile,negative
101,1382,"Not too bad, but could be better.",2023-08-06 14:27:29,mobile,neutral
102,9130,"Fast and reliable, well done!",2024-04-04 19:46:18,mobile,positive
103,3573,The service was outstanding!,2023-02-23 02:11:44,email,positive
104,5789,I wouldn't recommend this to anyone.,2023-02-01 19:06:23,email,negative
105,7382,"It was okay, nothing special.",2023-01-18 05:54:44,email,neutral
106,1212,Average experience overall.,2024-08-17 00:26:15,email,neutral
107,6486,Customer service was rude.,2024-02-04 06:37:02,mobile,negative
108,7903,"Great experience, highly recommend.",2023-12-21 03:13:57,web,positive
109,6066,I wouldn't recommend this to anyone.,2024-07-27 22:53:08,email,negative
110,4727,"Not too bad, but could be better.",2023-09-17 15:52:45,mobile,neutral
111,4266,Very satisfied with the product quality.,2024-03-13 18:32:57,email,positive
112,6795,"Terrible experience, very disappointed.",2023-12-02 07:12:18,mobile,negative
113,9521,"Fast and reliable, well done!",2024-03-01 22:03:34,mobile,positive
114,1862,Average experience overall.,2023-05-23 22:12:03,email,neutral
115,4752,The service was outstanding!,2024-06-12 04:44:27,email,positive
116,8325,The product works as expected.,2023-05-01 16:17:46,mobile,neutral
117,8325,The service was outstanding!,2023-05-23 13:27:09,email,positive
118,8220,"Service was fine, but not impressive.",2023-08-03 06:29:23,web,neutral
119,8176,"Everything was perfect, will use again.",2024-06-08 03:21:21,mobile,positive
120,7103,The service was outstanding!,2023-05-01 21:40:39,email,positive
121,1022,The product works as expected.,2024-06-29 18:43:08,web,neutral
122,6352,The product was defective upon arrival.,2023-08-03 12:45:27,email,negative
123,1262,"Not too bad, but could be better.",2024-08-24 10:53:49,mobile,neutral
124,1573,The product works as expected.,2023-08-04 01:27:48,mobile,neutral
125,4468,The product works as expected.,2023-05-20 14:33:13,mobile,neutral
126,1778,"Terrible experience, very disappointed.",2024-03-16 08:27:54,mobile,negative
127,8890,"Everything was perfect, will use again.",2023-02-22 23:16:13,web,positive
128,6132,"Terrible experience, very disappointed.",2024-04-21 06:16:36,mobile,negative
129,4961,"Terrible experience, very disappointed.",2023-03-05 08:26:01,web,negative
130,5325,"Service was fine, but not impressive.",2023-12-16 08:05:50,web,neutral
131,8868,"It was okay, nothing special.",2023-07-28 06:34:16,mobile,neutral
132,2092,Customer service was rude.,2024-07-06 23:19:26,mobile,negative
133,6702,"Extremely poor quality, not worth the price.",2023-09-22 19:08:51,web,negative
134,3786,"Terrible experience, very disappointed.",2023-04-24 10:16:57,email,negative
135,9000,"Everything was perfect, will use again.",2023-11-12 16:04:01,web,positive
136,3256,"Terrible experience, very disappointed.",2024-01-19 16:24:02,email,negative
137,1317,The product was defective upon arrival.,2024-03-27 07:54:49,web,negative
138,8506,Very satisfied with the product quality.,2024-05-30 14:37:39,web,positive
139,8961,I wouldn't recommend this to anyone.,2023-07-07 07:08:38,mobile,negative
140,3459,Very satisfied with the product quality.,2023-05-11 03:21:03,email,positive
141,9385,"Not too bad, but could be better.",2024-02-17 16:23:01,web,neutral
142,2081,Very satisfied with the product quality.,2024-06-10 11:07:01,mobile,positive
143,3890,I wouldn't recommend this to anyone.,2023-12-28 05:44:55,web,negative
144,4105,"It was okay, nothing special.",2024-09-11 13:20:01,mobile,neutral
145,4809,"Great experience, highly recommend.",2023-10-12 21:47:38,mobile,positive
146,6311,"Service was fine, but not impressive.",2023-05-15 11:29:32,web,neutral
147,6933,Very satisfied with the product quality.,2024-09-17 10:19:44,web,positive
148,4362,"Not too bad, but could be better.",2024-07-20 22:59:27,web,neutral
149,6268,I wouldn't recommend this to anyone.,2024-08-17 18:07:05,email,negative
150,8960,The product was defective upon arrival.,2023-04-01 18:45:47,email,negative
151,1533,"Not too bad, but could be better.",2023-09-05 00:06:39,web,neutral
152,5319,The service was outstanding!,2023-05-16 17:58:15,email,positive
153,9978,"Fast and reliable, well done!",2023-02-05 14:07:16,web,positive
154,3054,"Terrible experience, very disappointed.",2023-05-07 17:16:42,web,negative
155,5277,The product was defective upon arrival.,2023-09-16 00:41:53,email,negative
156,3637,The product was defective upon arrival.,2024-08-08 06:06:00,email,negative
157,4997,Very satisfied with the product quality.,2023-04-10 18:23:56,email,positive
158,3850,"Not too bad, but could be better.",2023-08-20 16:56:34,web,neutral
159,9515,"Fast and reliable, well done!",2023-11-25 13:29:41,web,positive
160,6914,Very satisfied with the product quality.,2023-07-07 10:37:19,email,positive
161,8634,"Fast and reliable, well done!",2024-05-26 00:17:02,email,positive
162,8854,The product was defective upon arrival.,2024-01-18 13:12:14,mobile,negative
163,7047,Very satisfied with the product quality.,2024-07-15 04:01:50,web,positive
164,1909,Very satisfied with the product quality.,2023-04-24 10:44:21,mobile,positive
165,7621,The service was outstanding!,2023-08-01 00:12:16,web,positive
166,6322,Customer service was rude.,2023-01-27 10:01:59,web,negative
167,6934,"Fast and reliable, well done!",2023-01-16 23:05:43,web,positive
168,7693,The product works as expected.,2024-02-20 03:46:39,mobile,neutral
169,1880,"It was okay, nothing special.",2024-06-15 21:52:53,email,neutral
170,6881,The service was outstanding!,2023-03-27 06:00:35,web,positive
171,8178,"It was okay, nothing special.",2024-04-25 00:44:26,mobile,neutral
172,3831,I wouldn't recommend this to anyone.,2023-02-26 05:14:36,web,negative
173,2337,I wouldn't recommend this to anyone.,2024-09-15 21:21:29,email,negative
174,7739,"Extremely poor quality, not worth the price.",2024-07-28 06:40:44,mobile,negative
175,8676,Very satisfied with the product quality.,2023-12-10 04:27:41,email,positive
176,1427,"Great experience, highly recommend.",2023-04-03 19:51:48,web,positive
177,4684,"Fast and reliable, well done!",2023-11-10 14:16:21,mobile,positive
178,1070,Customer service was rude.,2023-08-26 23:13:54,mobile,negative
179,2421,"Great experience, highly recommend.",2024-04-19 10:54:25,web,positive
180,5103,"Everything was perfect, will use again.",2023-11-26 03:22:08,web,positive
181,3499,"Service was fine, but not impressive.",2023-12-26 12:06:49,email,neutral
182,7019,The service was outstanding!,2023-11-08 13:17:54,mobile,positive
183,3004,"Fast and reliable, well done!",2024-01-01 03:08:52,web,positive
184,8145,"Terrible experience, very disappointed.",2023-09-21 05:17:31,mobile,negative
185,4508,The service was outstanding!,2023-03-25 03:59:24,mobile,positive
186,1408,Customer service was rude.,2023-11-12 18:30:59,mobile,negative
187,1791,Customer service was rude.,2023-02-23 23:41:18,mobile,negative
188,5132,The service was outstanding!,2024-09-03 08:05:34,email,positive
189,5099,"Terrible experience, very disappointed.",2023-10-13 00:22:51,email,negative
190,9833,I wouldn't recommend this to anyone.,2024-08-16 12:29:00,web,negative
191,4840,Very satisfied with the product quality.,2024-04-17 07:08:17,mobile,positive
192,9051,Average experience overall.,2023-07-31 22:59:08,email,neutral
193,5618,Very satisfied with the product quality.,2024-01-01 12:43:54,web,positive
194,5930,The product was defective upon arrival.,2024-01-10 04:35:01,web,negative
195,9768,The service was outstanding!,2023-08-25 19:56:10,email,positive
196,1604,Average experience overall.,2024-06-25 00:19:54,email,neutral
197,3599,Average experience overall.,2024-03-28 17:03:33,mobile,neutral
198,9874,I wouldn't recommend this to anyone.,2023-02-23 13:41:49,mobile,negative
199,6658,The service was outstanding!,2024-01-18 18:42:55,mobile,positive
200,9033,"Everything was perfect, will use again.",2023-05-06 19:51:42,email,positive
201,9797,The product works as expected.,2024-02-21 17:51:40,web,neutral
202,3768,The product was defective upon arrival.,2024-05-17 02:01:38,web,negative
203,4745,"Not too bad, but could be better.",2023-07-23 20:19:33,email,neutral
204,6340,Average experience overall.,2023-11-02 19:34:47,web,neutral
205,5253,I wouldn't recommend this to anyone.,2023-04-11 11:22:09,web,negative
206,1379,"Terrible experience, very disappointed.",2024-04-08 14:09:10,web,negative
207,7103,"Fast and reliable, well done!",2023-01-14 08:40:54,email,positive
208,8837,Average experience overall.,2023-03-29 16:11:42,email,neutral
209,5658,Very satisfied with the product quality.,2023-05-16 18:17:09,web,positive
210,9056,The service was outstanding!,2024-06-17 07:21:24,email,positive
211,5931,Customer service was rude.,2024-01-12 08:18:55,email,negative
212,4254,Customer service was rude.,2023-08-11 02:36:38,mobile,negative
213,3580,I wouldn't recommend this to anyone.,2024-08-28 01:23:54,mobile,negative
214,6783,"Terrible experience, very disappointed.",2023-11-10 07:18:28,web,negative
215,6525,"Terrible experience, very disappointed.",2023-12-09 06:29:11,mobile,negative
216,1483,I wouldn't recommend this to anyone.,2024-08-13 14:32:06,web,negative
217,2403,"Not too bad, but could be better.",2023-10-25 09:24:26,web,neutral
218,7782,"Not too bad, but could be better.",2024-03-31 11:26:04,web,neutral
219,7508,The service was outstanding!,2023-07-29 08:36:46,mobile,positive
220,6962,Very satisfied with the product quality.,2024-04-16 17:14:38,web,positive
221,2347,The service was outstanding!,2024-06-04 18:37:48,mobile,positive
222,8431,"Extremely poor quality, not worth the price.",2024-07-04 09:07:54,mobile,negative
223,9875,"Great experience, highly recommend.",2023-01-09 06:19:34,web,positive
224,3557,Customer service was rude.,2024-07-24 13:42:59,web,negative
225,7779,The service was outstanding!,2023-01-24 17:58:06,email,positive
226,6522,"Not too bad, but could be better.",2023-02-11 20:16:10,email,neutral
227,1498,"Fast and reliable, well done!",2024-03-15 06:06:17,email,positive
228,1987,The service was outstanding!,2024-06-30 18:02:57,web,positive
229,9406,Customer service was rude.,2023-11-17 11:11:33,mobile,negative
230,4466,"Not too bad, but could be better.",2023-11-28 05:05:25,mobile,neutral
231,5947,"Extremely poor quality, not worth the price.",2023-01-15 05:14:58,mobile,negative
232,3257,"Extremely poor quality, not worth the price.",2023-03-17 20:48:36,web,negative
233,1631,"Fast and reliable, well done!",2024-08-28 22:08:09,web,positive
234,4927,The product was defective upon arrival.,2023-10-15 12:35:02,web,negative
235,1270,"Terrible experience, very disappointed.",2023-06-20 15:41:15,email,negative
236,1285,Average experience overall.,2023-06-12 17:55:02,web,neutral
237,4271,I wouldn't recommend this to anyone.,2023-10-31 11:23:55,web,negative
238,6477,"Everything was perfect, will use again.",2024-01-25 02:30:25,email,positive
239,2154,Average experience overall.,2024-02-16 08:43:26,mobile,neutral
240,8852,The product works as expected.,2024-02-15 02:14:11,mobile,neutral
241,1746,"Everything was perfect, will use again.",2023-12-01 08:35:35,web,positive
242,8280,"Great experience, highly recommend.",2023-12-18 18:44:53,email,positive
243,4492,"Terrible experience, very disappointed.",2024-06-10 09:57:58,web,negative
244,2110,I wouldn't recommend this to anyone.,2024-06-01 03:37:22,email,negative
245,9514,The service was outstanding!,2024-02-16 00:07:45,web,positive
246,9107,"Terrible experience, very disappointed.",2024-03-19 08:47:38,email,negative
247,4859,"Great experience, highly recommend.",2024-02-03 00:28:11,mobile,positive
248,5060,The product works as expected.,2023-09-08 08:11:45,mobile,neutral
249,1119,"Terrible experience, very disappointed.",2024-05-03 01:32:09,email,negative
250,7727,"Terrible experience, very disappointed.",2024-09-05 08:42:53,web,negative
251,6017,Customer service was rude.,2023-10-05 06:57:52,email,negative
252,6931,I wouldn't recommend this to anyone.,2024-06-22 10:42:35,mobile,negative
253,9587,"Not too bad, but could be better.",2023-05-30 15:37:00,email,neutral
254,4906,"Great experience, highly recommend.",2024-08-18 01:38:18,email,positive
255,7747,"Everything was perfect, will use again.",2023-01-08 13:37:24,email,positive
256,9699,"Fast and reliable, well done!",2023-12-13 00:14:37,email,positive
257,6799,"Extremely poor quality, not worth the price.",2023-11-21 10:40:40,mobile,negative
258,2329,"Great experience, highly recommend.",2024-08-08 03:02:00,mobile,positive
259,8707,Customer service was rude.,2023-01-29 14:34:05,mobile,negative
260,7221,I wouldn't recommend this to anyone.,2024-07-15 11:38:35,web,negative
261,2166,"Not too bad, but could be better.",2024-08-07 23:55:58,web,neutral
262,2510,The service was outstanding!,2024-07-15 04:08:42,web,positive
263,6197,The product was defective upon arrival.,2023-12-24 02:35:04,email,negative
264,7191,"Everything was perfect, will use again.",2023-03-12 05:38:05,web,positive
265,2695,"Fast and reliable, well done!",2023-03-06 14:46:07,email,positive
266,2719,"Great experience, highly recommend.",2024-07-17 04:59:12,web,positive
267,3192,"Great experience, highly recommend.",2024-01-13 11:14:37,email,positive
268,8820,The service was outstanding!,2024-01-25 07:06:03,web,positive
269,7427,"Extremely poor quality, not worth the price.",2024-03-30 10:25:07,mobile,negative
270,8729,"Everything was perfect, will use again.",2024-03-04 20:04:33,email,positive
271,3773,Average experience overall.,2023-04-28 08:34:29,email,neutral
272,6708,Average experience overall.,2024-06-08 01:10:18,web,neutral
273,3074,"Everything was perfect, will use again.",2024-09-21 06:55:16,email,positive
274,3412,"Everything was perfect, will use again.",2023-01-26 08:11:12,email,positive
275,7105,Average experience overall.,2023-07-05 06:02:32,email,neutral
276,7922,The product was defective upon arrival.,2023-04-02 03:49:17,mobile,negative
277,6618,Average experience overall.,2024-08-06 10:34:17,web,neutral
278,6818,The service was outstanding!,2023-05-10 06:30:36,email,positive
279,5841,Very satisfied with the product quality.,2023-08-08 07:48:10,email,positive
280,7500,"Service was fine, but not impressive.",2024-08-25 09:22:38,mobile,neutral
281,5801,"Extremely poor quality, not worth the price.",2023-09-17 23:59:26,email,negative
282,7540,"Extremely poor quality, not worth the price.",2023-06-17 23:44:05,web,negative
283,7843,Very satisfied with the product quality.,2023-02-03 03:42:29,email,positive
284,3729,"It was okay, nothing special.",2024-04-02 00:47:04,mobile,neutral
285,9959,Average experience overall.,2024-04-02 03:54:26,email,neutral
286,5574,"Fast and reliable, well done!",2023-03-11 16:49:37,mobile,positive
287,1024,"Great experience, highly recommend.",2024-07-24 18:24:28,web,positive
288,5661,"Not too bad, but could be better.",2024-09-15 11:49:07,email,neutral
289,6082,Customer service was rude.,2024-03-06 07:09:59,email,negative
290,2030,Very satisfied with the product quality.,2023-06-26 08:18:05,web,positive
291,5865,"Not too bad, but could be better.",2024-08-30 13:10:37,mobile,neutral
292,2652,"It was okay, nothing special.",2023-10-30 07:37:31,web,neutral
293,5390,Customer service was rude.,2024-06-02 00:54:41,email,negative
294,9759,"Not too bad, but could be better.",2023-11-25 00:29:56,email,neutral
295,3393,The product works as expected.,2023-03-06 08:47:59,email,neutral
296,5067,"It was okay, nothing special.",2023-04-12 05:27:47,email,neutral
297,5628,"Everything was perfect, will use again.",2023-11-22 17:56:53,mobile,positive
298,3064,"Not too bad, but could be better.",2024-05-24 12:01:51,web,neutral
299,1877,I wouldn't recommend this to anyone.,2023-11-29 11:27:16,email,negative
300,5063,Very satisfied with the product quality.,2024-03-06 00:42:38,mobile,positive
301,3710,The product works as expected.,2023-02-17 21:50:23,mobile,neutral
302,8123,I wouldn't recommend this to anyone.,2023-07-20 16:34:40,email,negative
303,7926,Very satisfied with the product quality.,2024-07-01 15:45:15,mobile,positive
304,9482,Very satisfied with the product quality.,2024-07-07 05:50:31,email,positive
305,1519,Very satisfied with the product quality.,2024-07-24 22:56:15,mobile,positive
306,8574,"Great experience, highly recommend.",2023-08-16 04:57:10,email,positive
307,8921,"Fast and reliable, well done!",2023-09-05 07:15:13,mobile,positive
308,6333,"Terrible experience, very disappointed.",2024-06-18 10:43:29,web,negative
309,3485,"Everything was perfect, will use again.",2024-03-26 09:53:27,mobile,positive
310,8692,"Service was fine, but not impressive.",2023-11-22 03:57:51,mobile,neutral
311,1996,Average experience overall.,2023-06-02 22:16:01,web,neutral
312,8587,Very satisfied with the product quality.,2023-03-14 03:21:12,mobile,positive
313,5120,"Extremely poor quality, not worth the price.",2024-05-22 02:36:37,email,negative
314,7959,"Terrible experience, very disappointed.",2023-09-24 22:08:25,mobile,negative
315,7353,"Not too bad, but could be better.",2023-12-23 07:26:11,email,neutral
316,4529,Average experience overall.,2023-02-25 01:25:37,web,neutral
317,4923,"It was okay, nothing special.",2023-11-21 14:31:32,mobile,neutral
318,9449,"Extremely poor quality, not worth the price.",2023-10-27 21:44:27,web,negative
319,5299,"Terrible experience, very disappointed.",2023-10-22 12:05:10,mobile,negative
320,4698,I wouldn't recommend this to anyone.,2023-01-08 16:48:07,mobile,negative
321,2217,"Fast and reliable, well done!",2024-03-17 22:28:13,email,positive
322,3138,"Service was fine, but not impressive.",2023-05-05 03:19:01,mobile,neutral
323,3372,"Great experience, highly recommend.",2023-11-17 17:48:42,email,positive
324,9291,"Fast and reliable, well done!",2023-01-25 14:35:36,mobile,positive
325,4411,The product was defective upon arrival.,2023-07-26 16:40:20,mobile,negative
326,1633,"Service was fine, but not impressive.",2023-03-08 19:57:00,mobile,neutral
327,7301,"Extremely poor quality, not worth the price.",2023-05-08 09:19:44,email,negative
328,9797,"Extremely poor quality, not worth the price.",2024-04-07 18:04:01,web,negative
329,9115,"Terrible experience, very disappointed.",2023-12-30 07:29:53,email,negative
330,8059,"Service was fine, but not impressive.",2024-06-10 21:12:51,web,neutral
331,3706,"Extremely poor quality, not worth the price.",2024-04-14 19:23:01,email,negative
332,6970,"Everything was perfect, will use again.",2023-06-13 10:51:15,email,positive
333,3411,I wouldn't recommend this to anyone.,2024-01-21 09:42:53,email,negative
334,8565,"Fast and reliable, well done!",2023-01-06 06:29:22,web,positive
335,9641,"Terrible experience, very disappointed.",2023-03-28 06:11:43,web,negative
336,9550,"Service was fine, but not impressive.",2023-07-27 17:56:06,web,neutral
337,3822,The product works as expected.,2023-04-29 19:26:11,email,neutral
338,1845,I wouldn't recommend this to anyone.,2024-02-20 11:01:48,web,negative
339,1554,"Not too bad, but could be better.",2023-09-13 21:31:25,mobile,neutral
340,2127,"Service was fine, but not impressive.",2023-05-07 19:09:06,email,neutral
341,9794,"Great experience, highly recommend.",2023-04-01 07:50:24,web,positive
342,1253,Very satisfied with the product quality.,2023-12-08 16:45:33,email,positive
343,3825,I wouldn't recommend this to anyone.,2023-12-22 07:50:46,web,negative
344,6392,"It was okay, nothing special.",2024-05-13 04:11:57,email,neutral
345,1090,The service was outstanding!,2024-07-07 19:39:47,mobile,positive
346,8618,"Service was fine, but not impressive.",2024-05-22 22:42:11,mobile,neutral
347,8293,"Fast and reliable, well done!",2024-05-20 15:45:15,web,positive
348,4838,The service was outstanding!,2024-03-10 06:52:31,mobile,positive
349,7030,"Not too bad, but could be better.",2023-10-14 02:28:41,mobile,neutral
350,3870,"Service was fine, but not impressive.",2023-06-21 10:03:19,email,neutral
351,1680,Customer service was rude.,2023-12-19 20:03:28,mobile,negative
352,1813,The service was outstanding!,2023-10-08 22:46:58,web,positive
353,6322,Customer service was rude.,2023-02-25 09:04:29,email,negative
354,7378,Customer service was rude.,2024-09-14 16:08:03,email,negative
355,7064,"It was okay, nothing special.",2023-03-20 14:31:14,web,neutral
356,5855,"It was okay, nothing special.",2023-12-08 18:37:58,mobile,neutral
357,2441,"It was okay, nothing special.",2024-06-17 03:50:33,email,neutral
358,6830,"Great experience, highly recommend.",2024-01-14 20:03:00,web,positive
359,6670,"Not too bad, but could be better.",2023-02-15 15:46:49,web,neutral
360,8275,"Fast and reliable, well done!",2023-08-17 13:43:32,web,positive
361,8456,Customer service was rude.,2024-09-21 00:09:00,mobile,negative
362,4235,"Extremely poor quality, not worth the price.",2023-12-30 15:50:06,email,negative
363,5036,"Everything was perfect, will use again.",2023-11-29 22:10:31,email,positive
364,8290,"Not too bad, but could be better.",2023-07-21 10:05:24,mobile,neutral
365,2709,The product was defective upon arrival.,2023-08-16 21:50:25,email,negative
366,9160,I wouldn't recommend this to anyone.,2023-10-11 11:34:40,web,negative
367,7194,The product works as expected.,2023-06-16 03:22:20,email,neutral
368,2221,"Extremely poor quality, not worth the price.",2023-12-24 18:38:04,email,negative
369,5595,"It was okay, nothing special.",2023-04-05 05:19:39,mobile,neutral
370,2338,The service was outstanding!,2023-05-13 04:26:56,mobile,positive
371,6215,Customer service was rude.,2023-02-27 11:34:00,email,negative
372,6367,"It was okay, nothing special.",2023-05-20 22:53:44,web,neutral
373,4051,"It was okay, nothing special.",2023-03-09 15:53:18,mobile,neutral
374,3641,Customer service was rude.,2024-05-18 01:17:38,email,negative
375,6452,I wouldn't recommend this to anyone.,2023-08-15 14:55:44,web,negative
376,2009,"Terrible experience, very disappointed.",2024-07-27 04:41:26,email,negative
377,5992,"Not too bad, but could be better.",2024-04-20 14:27:49,mobile,neutral
378,4845,Very satisfied with the product quality.,2023-07-08 23:19:09,email,positive
379,3490,The service was outstanding!,2024-07-28 17:59:39,mobile,positive
380,1322,"Great experience, highly recommend.",2023-12-17 16:55:36,email,positive
381,6738,"Fast and reliable, well done!",2024-03-30 10:20:59,web,positive
382,4018,The product works as expected.,2024-09-22 07:07:08,mobile,neutral
