claim_id,customer_id,claim_date,claim_amount,incident_type,document_status,approval_status,processing_time
89,4508,2023-02-05,17273.54,Theft,Pending,Under Review,74
90,1700,2023-12-06,7585.46,Theft,Incomplete,Approved,28
91,4118,2024-08-07,18557.89,Fire,Incomplete,Approved,7
92,7579,2024-09-06,10687.27,Natural Disaster,Complete,Under Review,49
93,6124,2023-01-20,12373.76,Accident,Pending,Rejected,16
94,3205,2023-06-29,16306.49,Fire,Complete,Under Review,2
95,5070,2022-12-05,11933.42,Theft,Incomplete,Rejected,81
96,6277,2023-04-26,4877.21,Vandalism,Incomplete,Rejected,59
97,2338,2023-06-27,8973.16,Natural Disaster,Pending,Rejected,12
98,7022,2024-08-20,18173.77,Accident,Complete,Under Review,85
99,7419,2024-04-26,3713.59,Theft,Incomplete,Under Review,83
100,9656,2023-09-30,16413.64,Accident,Incomplete,Under Review,87
101,8932,2023-08-03,6299.95,Vandalism,Complete,Under Review,17
102,5683,2022-12-12,14717.44,Accident,Incomplete,Rejected,43
103,7927,2022-12-01,14071.76,Accident,Incomplete,Under Review,90
104,2205,2024-05-01,13761.9,Accident,Incomplete,Under Review,20
105,1507,2023-04-24,17428.9,Accident,Pending,Under Review,56
106,1028,2023-03-26,11868.71,Vandalism,Pending,Rejected,11
107,6774,2023-06-30,5094.5,Accident,Pending,Under Review,72
108,6696,2024-03-03,1591.16,Natural Disaster,Incomplete,Under Review,56
109,4740,2023-09-15,6343.75,Fire,Pending,Rejected,19
110,3533,2024-01-16,15755.51,Accident,Pending,Rejected,44
111,7498,2024-03-11,1714.26,Accident,Incomplete,Approved,71
112,8543,2024-07-31,19434.89,Accident,Complete,Approved,28
113,2549,2023-01-24,11637.95,Fire,Incomplete,Under Review,22
114,6183,2022-11-17,17741.0,Vandalism,Complete,Approved,68
115,6935,2022-12-13,13528.84,Vandalism,Incomplete,Under Review,41
116,9382,2024-05-25,14603.21,Natural Disaster,Incomplete,Under Review,72
117,3905,2023-11-28,17104.6,Accident,Pending,Under Review,75
118,5877,2024-07-09,2852.12,Theft,Complete,Under Review,47
119,9411,2023-08-31,11128.64,Accident,Incomplete,Approved,60
120,6792,2024-04-16,1163.94,Natural Disaster,Complete,Under Review,54
121,5900,2023-05-01,8008.59,Theft,Incomplete,Under Review,60
122,2178,2024-07-26,6486.81,Fire,Pending,Rejected,23
123,2584,2022-12-27,6810.98,Theft,Incomplete,Under Review,10
124,7323,2022-10-29,19153.17,Fire,Pending,Approved,32
125,3518,2024-07-19,10727.84,Accident,Complete,Rejected,39
126,4369,2023-05-21,17161.88,Natural Disaster,Incomplete,Rejected,86
127,4458,2024-04-20,6263.07,Fire,Pending,Rejected,87
128,3240,2024-05-13,17089.4,Accident,Pending,Approved,49
129,7485,2022-10-23,13635.42,Theft,Pending,Rejected,51
130,1222,2024-07-19,4922.49,Accident,Pending,Approved,37
131,8407,2023-10-13,14209.83,Vandalism,Pending,Under Review,79
132,8697,2023-11-13,16834.76,Fire,Complete,Under Review,42
133,1642,2023-01-23,17203.51,Fire,Pending,Under Review,30
134,7001,2023-07-26,14562.46,Theft,Complete,Under Review,62
135,5031,2023-07-01,12545.08,Accident,Incomplete,Rejected,76
136,8368,2023-06-20,14882.83,Vandalism,Complete,Approved,85
137,4239,2022-10-27,6506.37,Theft,Pending,Rejected,59
138,7300,2024-09-10,6825.43,Theft,Complete,Under Review,58
139,1739,2023-04-30,3657.43,Vandalism,Pending,Under Review,22
140,3683,2022-10-25,14290.67,Natural Disaster,Complete,Under Review,57
141,1645,2023-12-10,11972.16,Natural Disaster,Complete,Under Review,8
142,6459,2023-01-08,8172.28,Accident,Incomplete,Approved,84
143,1678,2023-03-22,11871.26,Theft,Incomplete,Under Review,41
144,4039,2023-04-06,1989.96,Fire,Complete,Rejected,7
145,7263,2023-02-27,7819.77,Theft,Complete,Under Review,28
146,2967,2024-06-12,2398.65,Fire,Complete,Rejected,24
147,5444,2023-07-24,15391.59,Fire,Pending,Under Review,17
148,8019,2023-01-11,863.15,Theft,Pending,Under Review,85
149,7191,2024-04-25,12006.79,Natural Disaster,Pending,Under Review,6
150,9857,2024-02-09,6555.58,Fire,Pending,Approved,5
151,3035,2024-08-07,3628.15,Fire,Incomplete,Under Review,71
152,6306,2024-01-22,19959.04,Fire,Incomplete,Rejected,51
153,5837,2023-11-22,14936.92,Accident,Incomplete,Rejected,88
154,1724,2024-09-17,3252.53,Accident,Incomplete,Under Review,54
155,7451,2023-08-24,15324.68,Accident,Complete,Approved,9
156,9898,2024-05-25,18170.3,Vandalism,Pending,Under Review,49
157,4354,2023-12-14,11157.35,Natural Disaster,Complete,Approved,7
158,5440,2024-07-24,4252.4,Theft,Incomplete,Under Review,73
159,1889,2023-03-24,14481.81,Vandalism,Pending,Under Review,1
160,4833,2023-09-20,19077.03,Theft,Complete,Approved,47
161,3347,2023-07-22,19237.83,Fire,Incomplete,Approved,89
162,8376,2023-04-21,10204.06,Accident,Incomplete,Rejected,31
163,7137,2023-10-07,12959.92,Natural Disaster,Pending,Rejected,35
164,6851,2023-10-18,4442.2,Theft,Incomplete,Under Review,5
165,3197,2024-01-06,17806.82,Natural Disaster,Pending,Approved,75
166,6118,2023-08-20,9065.63,Theft,Incomplete,Under Review,30
167,8749,2024-07-07,9241.24,Theft,Pending,Approved,65
168,6006,2024-01-16,5667.35,Vandalism,Complete,Under Review,57
169,1117,2024-01-20,19917.54,Vandalism,Incomplete,Rejected,36
170,3067,2024-07-18,19716.8,Natural Disaster,Pending,Rejected,3
171,1989,2024-07-12,1310.35,Natural Disaster,Incomplete,Under Review,7
172,9939,2023-12-30,16087.93,Natural Disaster,Incomplete,Rejected,17
173,2850,2023-07-17,19386.12,Vandalism,Incomplete,Approved,66
174,6240,2024-03-03,12918.85,Theft,Incomplete,Approved,19
175,4698,2022-11-08,4118.5,Natural Disaster,Complete,Under Review,45
176,3013,2023-01-15,759.88,Theft,Complete,Approved,57
177,5465,2023-06-26,804.1,Accident,Incomplete,Approved,19
178,5352,2022-11-08,11619.21,Fire,Pending,Approved,86
179,3351,2024-06-20,16509.5,Vandalism,Complete,Rejected,47
180,5815,2023-04-07,2452.67,Fire,Pending,Rejected,83
181,8122,2023-03-02,13550.21,Natural Disaster,Pending,Rejected,67
182,6343,2024-09-03,18393.85,Theft,Pending,Rejected,54
183,3937,2024-02-11,13247.31,Vandalism,Complete,Rejected,86
184,9067,2023-01-30,3430.67,Theft,Incomplete,Approved,68
185,3863,2024-08-30,7766.67,Theft,Incomplete,Under Review,67
186,7794,2023-10-28,12891.32,Theft,Incomplete,Under Review,7
187,4648,2024-06-05,18365.88,Accident,Pending,Approved,42
188,6717,2023-09-28,1006.58,Natural Disaster,Complete,Rejected,29
189,4840,2024-04-16,18232.5,Theft,Incomplete,Approved,7
190,2731,2023-10-17,6982.8,Natural Disaster,Pending,Under Review,43
191,2859,2024-01-05,11062.99,Accident,Pending,Rejected,76
192,5536,2023-02-21,11782.12,Theft,Pending,Under Review,37
193,3216,2022-10-19,2197.06,Vandalism,Incomplete,Rejected,63
194,1599,2023-08-29,18067.35,Vandalism,Complete,Approved,79
195,7359,2024-01-09,17475.81,Vandalism,Pending,Approved,61
196,5525,2024-01-20,10125.78,Natural Disaster,Complete,Under Review,76
197,4105,2023-03-31,13848.84,Fire,Pending,Under Review,76
198,9251,2024-04-28,11607.35,Accident,Pending,Rejected,90
199,6371,2023-01-07,9080.12,Accident,Pending,Approved,90
200,7924,2023-10-25,19422.56,Accident,Complete,Approved,89
201,7727,2023-06-25,12866.69,Theft,Incomplete,Rejected,59
202,2814,2023-06-01,5951.24,Accident,Incomplete,Approved,83
203,4645,2023-04-20,16287.33,Fire,Pending,Rejected,55
204,2100,2024-04-27,9908.95,Fire,Complete,Rejected,70
205,2713,2023-03-14,17957.26,Fire,Complete,Approved,23
206,6590,2023-01-15,8817.21,Accident,Complete,Under Review,76
207,9212,2024-05-27,2961.13,Theft,Pending,Under Review,6
208,6404,2022-10-06,17807.58,Accident,Pending,Under Review,23
209,8343,2023-03-22,8008.73,Fire,Complete,Approved,49
210,7748,2022-11-19,6427.28,Natural Disaster,Pending,Under Review,13
211,1154,2023-09-05,18864.06,Theft,Complete,Rejected,76
212,7801,2024-02-04,804.08,Fire,Pending,Under Review,66
213,8035,2023-08-07,17592.47,Accident,Complete,Under Review,84
214,3932,2023-06-20,2875.31,Theft,Complete,Rejected,24
215,2419,2023-05-03,14842.81,Natural Disaster,Pending,Under Review,23
216,9645,2024-03-13,5613.82,Fire,Pending,Under Review,69
217,1030,2024-07-10,7653.26,Vandalism,Incomplete,Rejected,1
218,2187,2024-02-12,5455.16,Fire,Incomplete,Under Review,54
219,1921,2023-10-26,19518.06,Natural Disaster,Complete,Approved,7
220,6336,2023-06-18,18564.59,Theft,Incomplete,Under Review,11
221,4628,2023-01-07,12839.4,Vandalism,Incomplete,Under Review,56
222,6209,2023-05-08,17500.34,Theft,Complete,Rejected,3
223,9493,2024-09-11,11097.83,Vandalism,Pending,Under Review,76
224,1091,2023-07-21,5054.47,Accident,Complete,Under Review,11
225,8565,2023-06-24,3612.61,Vandalism,Complete,Approved,53
226,2524,2024-03-05,10725.54,Theft,Complete,Rejected,1
227,8852,2023-05-25,5577.83,Theft,Incomplete,Under Review,15
228,3450,2022-10-10,16235.99,Theft,Complete,Approved,43
229,6458,2024-02-16,10582.96,Vandalism,Incomplete,Approved,62
230,3010,2023-01-26,17835.56,Fire,Complete,Rejected,22
231,6129,2023-02-11,16939.08,Theft,Pending,Under Review,59
232,2470,2024-05-21,4913.71,Theft,Pending,Rejected,23
233,4264,2023-05-15,8287.98,Fire,Pending,Rejected,17
234,1350,2023-03-30,16491.28,Natural Disaster,Complete,Approved,63
235,9008,2022-12-16,16499.82,Accident,Complete,Approved,14
236,6401,2024-03-16,4916.91,Accident,Complete,Approved,51
237,8444,2023-11-09,11885.3,Fire,Complete,Under Review,88
238,9371,2023-12-08,12845.39,Fire,Complete,Under Review,5
239,6978,2022-12-13,5161.99,Theft,Incomplete,Rejected,23
240,5166,2023-02-26,15995.04,Natural Disaster,Complete,Rejected,47
241,9901,2023-02-26,17608.94,Theft,Incomplete,Rejected,52
242,4252,2024-07-08,15379.8,Natural Disaster,Incomplete,Under Review,15
243,4317,2023-08-18,16100.36,Natural Disaster,Complete,Under Review,13
244,9417,2024-02-13,17898.01,Fire,Pending,Rejected,81
245,5812,2024-06-12,16586.01,Theft,Complete,Approved,79
246,7098,2023-11-02,18745.15,Natural Disaster,Complete,Rejected,24
247,3071,2024-01-03,10074.22,Accident,Incomplete,Rejected,42
248,4456,2023-07-31,3401.47,Vandalism,Complete,Under Review,33
249,4447,2023-05-23,11997.38,Natural Disaster,Pending,Under Review,74
250,7303,2022-10-13,3065.38,Natural Disaster,Pending,Under Review,60
251,6903,2023-02-21,12384.86,Vandalism,Pending,Approved,68
252,5453,2023-09-09,2628.5,Accident,Incomplete,Approved,62
253,4503,2024-05-03,5869.1,Vandalism,Pending,Rejected,26
254,6565,2022-11-12,7169.22,Fire,Pending,Approved,81
255,6833,2022-10-05,10368.91,Vandalism,Pending,Rejected,45
256,3835,2024-09-11,19671.08,Natural Disaster,Pending,Approved,24
257,8367,2024-05-09,2139.88,Accident,Complete,Approved,50
258,8588,2024-02-22,13454.24,Vandalism,Pending,Under Review,33
259,1434,2024-06-29,6788.63,Natural Disaster,Complete,Rejected,76
260,9187,2023-07-29,9032.92,Fire,Complete,Approved,22
261,5564,2023-03-27,7705.43,Fire,Incomplete,Rejected,38
262,6751,2022-10-31,15598.49,Vandalism,Complete,Rejected,56
263,2074,2022-11-05,863.58,Fire,Incomplete,Under Review,57
264,6295,2024-02-01,19170.56,Fire,Pending,Rejected,85
265,4002,2023-08-28,8183.63,Natural Disaster,Complete,Approved,42
266,6625,2024-04-21,13408.11,Fire,Incomplete,Under Review,17
267,8958,2023-04-04,10919.86,Natural Disaster,Complete,Approved,45
268,2738,2024-01-04,8260.45,Vandalism,Pending,Approved,16
269,3417,2024-02-12,7168.5,Vandalism,Pending,Under Review,27
270,9932,2023-04-30,16373.74,Theft,Complete,Rejected,59
271,6437,2023-03-24,1580.54,Theft,Pending,Rejected,81
272,1357,2023-06-04,12081.15,Accident,Complete,Under Review,81
273,2366,2023-05-18,18485.75,Fire,Complete,Rejected,8
274,5029,2024-01-13,16297.38,Accident,Pending,Rejected,52
275,5867,2023-10-03,9951.45,Vandalism,Incomplete,Under Review,3
276,3381,2024-03-21,19881.32,Accident,Complete,Rejected,19
277,8905,2024-06-12,5304.04,Theft,Complete,Approved,49
278,8085,2024-06-13,18471.93,Fire,Complete,Rejected,76
279,6151,2024-06-11,2543.25,Natural Disaster,Complete,Under Review,59
280,2909,2023-01-03,9740.77,Fire,Incomplete,Approved,29
281,7710,2024-09-07,15127.91,Theft,Pending,Under Review,2
282,6881,2023-10-15,16976.14,Natural Disaster,Complete,Under Review,28
283,4078,2024-02-15,18667.06,Accident,Incomplete,Under Review,22
284,8627,2024-01-31,3992.55,Theft,Complete,Approved,15
285,4272,2022-12-27,18709.57,Fire,Complete,Approved,13
286,5745,2022-10-30,1325.0,Theft,Complete,Approved,39
287,7149,2023-06-23,4632.02,Natural Disaster,Incomplete,Approved,41
288,7253,2023-02-01,15757.12,Accident,Pending,Rejected,21
289,5674,2023-06-04,1740.84,Accident,Incomplete,Under Review,5
290,3752,2022-11-10,5349.56,Vandalism,Incomplete,Approved,80
291,4193,2023-01-31,9628.04,Natural Disaster,Pending,Approved,3
292,1995,2024-04-18,15574.33,Fire,Incomplete,Approved,38
293,6101,2022-12-11,8213.52,Natural Disaster,Incomplete,Rejected,87
294,1898,2024-06-15,4239.13,Vandalism,Complete,Under Review,62
295,6582,2022-09-23,11698.99,Vandalism,Incomplete,Under Review,15
296,2915,2023-07-07,14945.71,Accident,Pending,Approved,86
297,7039,2023-03-27,16814.55,Theft,Complete,Rejected,11
298,6904,2022-12-30,14580.7,Vandalism,Pending,Approved,40
299,5665,2023-03-01,15915.92,Fire,Incomplete,Rejected,84
300,1420,2023-07-20,8195.24,Natural Disaster,Pending,Rejected,48
301,6325,2023-05-27,13714.69,Theft,Incomplete,Rejected,25
302,1009,2023-05-13,17001.8,Accident,Pending,Under Review,83
303,1545,2022-11-09,3605.81,Theft,Incomplete,Rejected,45
304,1618,2023-04-21,19026.49,Theft,Pending,Approved,26
305,8290,2023-09-01,14162.41,Theft,Incomplete,Approved,19
306,2009,2024-04-01,1878.17,Accident,Complete,Rejected,8
307,7375,2023-10-18,7326.43,Theft,Complete,Approved,72
308,9611,2023-12-03,11085.35,Accident,Complete,Approved,14
309,1299,2024-06-24,13154.39,Theft,Incomplete,Under Review,15
310,5814,2023-12-10,4326.52,Accident,Incomplete,Under Review,16
311,6384,2022-11-22,18040.64,Natural Disaster,Incomplete,Approved,82
312,7957,2023-03-11,1728.25,Fire,Incomplete,Approved,79
313,3056,2022-11-04,9955.55,Natural Disaster,Incomplete,Under Review,86
314,2870,2024-06-20,587.94,Fire,Incomplete,Under Review,55
315,2869,2023-04-22,14504.97,Natural Disaster,Pending,Approved,26
316,6608,2024-07-08,17157.45,Vandalism,Complete,Rejected,41
317,9831,2023-01-12,19746.32,Fire,Pending,Rejected,41
318,4626,2024-08-08,2154.56,Accident,Pending,Rejected,45
319,6145,2022-10-13,6200.26,Accident,Pending,Under Review,52
320,6232,2023-05-22,8441.14,Natural Disaster,Complete,Rejected,2
321,3170,2023-09-21,9656.34,Natural Disaster,Complete,Rejected,25
322,4729,2023-08-09,9508.8,Theft,Complete,Rejected,45
323,6938,2023-03-26,16554.44,Theft,Pending,Rejected,71
324,9506,2023-04-23,4705.55,Theft,Incomplete,Rejected,13
325,6959,2024-09-06,2974.65,Theft,Pending,Rejected,19
326,3311,2023-06-17,8188.96,Natural Disaster,Pending,Approved,5
327,5387,2023-02-25,11947.04,Accident,Incomplete,Rejected,50
328,6317,2024-02-09,7311.26,Fire,Incomplete,Under Review,74
329,3538,2024-01-16,8985.35,Theft,Incomplete,Under Review,84
330,6677,2022-11-20,13300.27,Vandalism,Incomplete,Under Review,8
331,7489,2024-04-04,13438.13,Fire,Pending,Rejected,60
332,2201,2023-07-03,17524.95,Theft,Pending,Rejected,42
333,6810,2024-03-26,16078.45,Accident,Complete,Rejected,6
334,5436,2024-06-13,10819.61,Fire,Pending,Rejected,85
335,2334,2023-01-12,9155.9,Theft,Pending,Approved,31
336,8688,2024-04-04,16118.68,Theft,Complete,Rejected,15
337,9751,2024-05-02,6992.31,Natural Disaster,Incomplete,Under Review,41
338,6599,2022-10-27,3772.49,Vandalism,Complete,Approved,17
339,3038,2022-10-23,17576.25,Vandalism,Pending,Rejected,64
340,7000,2023-08-04,3531.3,Accident,Complete,Approved,19
341,9921,2023-10-15,6174.28,Vandalism,Pending,Rejected,87
342,7008,2024-01-10,16039.62,Theft,Incomplete,Approved,11
343,3220,2023-06-22,13301.46,Fire,Pending,Rejected,34
344,4154,2023-02-01,12701.07,Vandalism,Complete,Rejected,21
345,3078,2024-09-13,970.91,Fire,Pending,Under Review,36
346,7384,2023-06-23,18383.71,Fire,Incomplete,Rejected,47
347,6011,2023-05-02,6994.08,Theft,Complete,Rejected,8
348,5701,2023-06-07,11683.27,Vandalism,Pending,Rejected,36
349,1655,2024-01-16,6713.74,Natural Disaster,Incomplete,Approved,88
350,2700,2023-09-22,12995.41,Vandalism,Complete,Approved,56
351,8838,2023-11-10,14771.91,Fire,Pending,Under Review,30
352,5643,2022-11-29,10305.39,Vandalism,Incomplete,Rejected,86
353,4024,2023-01-30,11459.93,Theft,Complete,Under Review,34
354,7774,2023-11-29,8041.15,Natural Disaster,Incomplete,Approved,89
355,8363,2024-02-08,18259.23,Natural Disaster,Incomplete,Rejected,82
356,2176,2024-09-02,11493.34,Natural Disaster,Complete,Under Review,73
357,7722,2023-02-17,6710.14,Fire,Pending,Rejected,14
358,1373,2024-01-26,12529.28,Vandalism,Incomplete,Approved,35
359,8908,2023-02-26,12932.86,Theft,Complete,Approved,23
360,9573,2024-07-04,15607.65,Natural Disaster,Pending,Approved,73
361,1333,2024-08-13,19104.7,Vandalism,Complete,Approved,62
362,3457,2024-08-22,14829.26,Accident,Incomplete,Under Review,70
363,2113,2023-09-28,1947.93,Theft,Pending,Rejected,27
364,2611,2023-12-13,2379.48,Fire,Complete,Under Review,34
365,4573,2022-10-08,6029.09,Fire,Complete,Under Review,39
366,5445,2023-05-07,16091.66,Accident,Complete,Approved,58
367,5628,2022-11-13,2515.93,Natural Disaster,Incomplete,Approved,60
368,6719,2023-07-06,2093.12,Theft,Pending,Rejected,64
369,8340,2023-11-09,9288.56,Fire,Complete,Approved,27
370,1176,2023-12-07,9930.92,Accident,Incomplete,Under Review,30
371,6643,2024-07-16,4848.94,Fire,Complete,Approved,20
372,8744,2023-06-09,15541.08,Fire,Complete,Rejected,71
373,6140,2023-04-28,14035.83,Natural Disaster,Complete,Rejected,65
374,4459,2024-04-06,9988.75,Vandalism,Incomplete,Under Review,90
375,5128,2024-03-30,8212.58,Theft,Pending,Rejected,46
376,5658,2023-05-22,3633.65,Theft,Complete,Rejected,61
377,9056,2022-11-19,12410.71,Accident,Incomplete,Under Review,19
378,2388,2023-06-09,9178.29,Theft,Incomplete,Under Review,8
379,2546,2023-12-16,17918.28,Theft,Pending,Approved,63
380,2916,2024-01-02,1063.45,Vandalism,Complete,Rejected,11
381,5760,2023-04-20,11003.47,Natural Disaster,Incomplete,Approved,42
382,8067,2023-01-23,4426.1,Fire,Incomplete,Rejected,74
383,8655,2024-05-07,1350.58,Vandalism,Incomplete,Rejected,90
384,1675,2023-04-05,14655.56,Accident,Pending,Under Review,5
385,8563,2024-06-15,15315.67,Vandalism,Incomplete,Rejected,3
386,8362,2022-12-04,8271.32,Accident,Complete,Approved,35
387,9461,2024-06-20,19152.24,Accident,Complete,Approved,74
388,4286,2023-09-29,13783.5,Natural Disaster,Pending,Under Review,44
389,4658,2023-06-21,16122.04,Vandalism,Complete,Approved,31
390,5172,2023-07-21,9032.97,Vandalism,Incomplete,Rejected,32
391,8161,2024-07-21,8460.51,Fire,Complete,Rejected,87
392,3057,2024-07-29,9470.24,Accident,Complete,Under Review,45
393,6878,2024-07-11,5235.72,Accident,Incomplete,Approved,32
394,2396,2023-07-29,18006.11,Vandalism,Pending,Under Review,21
395,2125,2023-01-26,10141.33,Accident,Complete,Rejected,89
396,6611,2023-12-19,17723.47,Fire,Complete,Approved,36
397,6059,2023-08-15,16863.93,Fire,Complete,Under Review,23
398,4567,2023-12-08,17065.32,Theft,Complete,Approved,79
399,5343,2024-04-11,16174.91,Fire,Complete,Under Review,23
400,8964,2022-12-27,6309.05,Natural Disaster,Complete,Under Review,26
401,3113,2022-09-24,4606.9,Vandalism,Pending,Approved,75
402,6616,2023-09-26,16277.35,Vandalism,Pending,Rejected,38
403,2109,2023-10-16,5285.33,Theft,Complete,Under Review,84
404,6046,2023-07-10,3765.83,Fire,Incomplete,Approved,90
405,5912,2024-02-14,13125.94,Fire,Complete,Approved,30
406,6484,2024-01-30,18323.57,Fire,Complete,Under Review,12
407,5295,2023-08-22,15582.21,Theft,Incomplete,Rejected,74
408,1965,2024-02-26,2256.09,Theft,Pending,Approved,68
409,5412,2023-10-16,11549.1,Accident,Pending,Approved,7
410,7587,2022-10-01,6611.9,Theft,Pending,Under Review,55
411,1258,2022-10-07,5382.91,Fire,Incomplete,Approved,9
412,9269,2024-01-25,17055.09,Accident,Complete,Under Review,90
413,2389,2023-09-24,14770.64,Fire,Complete,Approved,38
414,5234,2024-05-10,16602.32,Vandalism,Pending,Approved,51
415,4604,2023-06-12,3304.6,Fire,Pending,Rejected,61
416,6871,2024-06-19,17625.19,Fire,Complete,Rejected,53
417,5371,2023-12-05,2601.4,Natural Disaster,Complete,Approved,46
418,6120,2023-10-05,17082.91,Theft,Complete,Rejected,59
