customer_id,age,gender,purchase_history,average_spend,loyalty_score,preferred_channel,engagement_score,canton
110,40,Female,Electronics,887,94,Store,77,Bern
111,54,Female,Fashion,624,99,Store,51,Lausanne
112,59,Female,Fashion,207,19,Online,3,Basel
113,18,Female,Travel,465,46,Online,19,Bern
114,18,Male,Electronics,114,99,Store,11,Bern
115,69,Male,Fashion,585,72,Online,98,Lugano
116,19,Male,Travel,807,84,Online,27,Bern
117,48,Female,Electronics,947,54,Store,90,Geneva
118,56,Female,Electronics,831,0,Online,71,Zürich
119,58,Female,Travel,915,97,Online,50,Bern
120,43,Male,Electronics,896,42,Store,76,Zürich
121,51,Male,Grocery,863,77,Online,96,Zürich
122,33,Female,Fashion,514,94,Online,77,Geneva
123,20,Male,Grocery,831,23,Online,70,Lausanne
124,53,Female,Grocery,169,77,Store,42,Lausanne
125,53,Female,Fashion,114,39,Online,10,Bern
126,60,Male,Electronics,316,19,Store,10,Zürich
127,62,Male,Electronics,652,32,Store,64,Bern
128,50,Female,Grocery,907,42,Online,81,Geneva
129,55,Male,Travel,341,57,Store,31,Basel
130,28,Female,Fashion,459,22,Online,51,Bern
131,52,Female,Travel,364,9,Store,20,Zürich
132,70,Female,Grocery,750,7,Store,62,Lugano
133,32,Female,Travel,936,93,Store,81,Geneva
134,47,Male,Fashion,768,12,Online,84,Zürich
135,21,Female,Fashion,909,67,Online,74,Zürich
136,21,Male,Electronics,165,32,Store,81,Basel
137,23,Female,Fashion,108,2,Online,92,Lausanne
138,23,Male,Electronics,359,14,Store,42,Geneva
139,68,Male,Grocery,517,20,Online,18,Zürich
140,26,Male,Electronics,917,11,Online,13,Lugano
141,57,Male,Grocery,205,4,Store,13,Bern
142,59,Female,Fashion,528,65,Store,100,Lausanne
143,25,Female,Fashion,649,97,Store,100,Geneva
144,36,Female,Fashion,863,79,Store,86,Zürich
145,32,Female,Fashion,594,27,Store,53,Lausanne
146,31,Male,Travel,267,54,Online,25,Lugano
147,29,Male,Electronics,362,41,Store,58,Geneva
148,48,Female,Grocery,516,96,Store,30,Lausanne
149,42,Male,Grocery,808,32,Store,95,Lugano
150,58,Male,Fashion,653,15,Store,39,Basel
151,31,Male,Grocery,256,2,Online,79,Lugano
152,30,Male,Fashion,134,80,Store,83,Bern
153,21,Male,Fashion,818,41,Online,64,Zürich
154,70,Male,Travel,712,44,Store,24,Geneva
155,68,Female,Grocery,667,31,Store,98,Lausanne
156,40,Male,Fashion,355,18,Store,6,Lugano
157,18,Female,Electronics,363,68,Store,72,Basel
158,38,Female,Travel,638,87,Online,77,Lausanne
159,66,Female,Electronics,348,37,Store,50,Lugano
160,63,Male,Fashion,515,85,Store,11,Bern
161,46,Female,Fashion,887,41,Store,46,Lausanne
162,30,Female,Electronics,283,0,Online,4,Lugano
163,33,Male,Travel,694,63,Store,97,Geneva
164,39,Male,Electronics,148,67,Online,7,Bern
165,20,Female,Grocery,589,96,Online,46,Lausanne
166,70,Male,Fashion,775,91,Store,30,Geneva
167,35,Male,Grocery,870,55,Store,68,Lugano
168,42,Female,Travel,488,86,Online,98,Basel
169,29,Male,Electronics,242,42,Store,35,Basel
170,19,Male,Grocery,822,33,Store,62,Bern
171,47,Female,Grocery,349,49,Online,87,Lugano
172,62,Male,Grocery,371,1,Store,93,Bern
173,23,Male,Electronics,641,90,Store,32,Zürich
174,20,Female,Grocery,557,28,Online,90,Basel
175,33,Female,Travel,262,53,Store,9,Geneva
176,70,Female,Fashion,613,0,Online,28,Geneva
177,69,Female,Electronics,594,53,Online,95,Lugano
178,40,Male,Electronics,945,19,Online,32,Bern
179,24,Male,Electronics,336,56,Store,37,Basel
180,52,Female,Travel,814,51,Store,96,Lugano
181,54,Male,Fashion,100,45,Online,99,Lugano
182,56,Male,Grocery,154,8,Online,70,Basel
183,45,Male,Electronics,515,44,Store,49,Lugano
184,56,Male,Electronics,273,44,Online,65,Lausanne
185,42,Female,Grocery,459,78,Store,79,Geneva
186,23,Female,Travel,727,4,Store,71,Lugano
187,28,Male,Grocery,365,100,Store,4,Lausanne
188,24,Female,Grocery,796,23,Store,95,Basel
189,48,Male,Electronics,545,83,Store,30,Basel
190,55,Male,Travel,318,88,Online,78,Lausanne
191,25,Male,Electronics,927,43,Store,97,Bern
192,47,Male,Fashion,611,63,Online,7,Basel
193,46,Female,Grocery,446,48,Online,11,Basel
194,48,Male,Travel,985,39,Online,35,Lausanne
195,64,Female,Electronics,122,62,Online,65,Basel
196,70,Female,Electronics,532,98,Store,88,Lausanne
197,37,Male,Electronics,638,88,Store,35,Lausanne
198,34,Male,Grocery,810,79,Store,36,Geneva
199,28,Male,Travel,808,86,Store,23,Zürich
200,36,Male,Fashion,366,10,Store,76,Lausanne
201,18,Male,Fashion,113,3,Store,36,Basel
202,51,Male,Travel,309,83,Store,77,Bern
203,50,Male,Fashion,149,92,Online,87,Geneva
204,34,Female,Electronics,104,73,Store,44,Basel
205,52,Female,Fashion,346,13,Online,96,Lugano
206,66,Female,Travel,582,67,Store,84,Lausanne
207,23,Male,Fashion,921,69,Store,86,Lausanne
208,48,Female,Electronics,419,89,Store,78,Zürich
209,50,Female,Electronics,633,48,Store,63,Lugano
210,39,Male,Electronics,134,53,Store,35,Zürich
211,64,Female,Fashion,952,58,Online,14,Bern
212,55,Female,Fashion,720,64,Store,62,Zürich
213,24,Female,Fashion,487,94,Online,49,Zürich
214,46,Female,Electronics,721,0,Store,83,Lugano
215,24,Male,Fashion,495,68,Online,89,Lugano
216,39,Female,Electronics,174,8,Store,2,Lugano
217,19,Female,Travel,926,6,Store,60,Bern
218,41,Female,Grocery,418,77,Store,8,Lausanne
219,50,Male,Electronics,804,86,Store,82,Bern
220,23,Male,Grocery,574,6,Online,83,Bern
221,46,Male,Fashion,892,42,Store,39,Geneva
222,65,Male,Grocery,360,38,Online,77,Lugano
223,47,Male,Grocery,580,6,Store,75,Zürich
224,58,Male,Fashion,810,40,Online,86,Zürich
225,64,Male,Electronics,133,66,Store,4,Zürich
226,65,Female,Electronics,763,74,Store,81,Basel
227,63,Female,Travel,589,92,Online,1,Lausanne
228,23,Female,Electronics,152,23,Store,59,Lausanne
229,40,Female,Grocery,640,63,Online,89,Lugano
230,43,Male,Electronics,175,97,Store,51,Lugano
231,24,Male,Travel,286,91,Online,16,Lausanne
232,66,Female,Travel,658,80,Store,73,Bern
233,23,Male,Fashion,365,82,Online,93,Basel
234,40,Male,Fashion,295,96,Store,2,Lausanne
235,47,Male,Travel,206,7,Store,30,Lausanne
236,66,Male,Grocery,630,35,Store,91,Zürich
237,26,Female,Travel,333,15,Store,40,Lausanne
238,18,Female,Electronics,191,4,Store,58,Zürich
239,24,Female,Grocery,725,38,Store,92,Zürich
240,66,Female,Electronics,152,81,Online,70,Lausanne
241,24,Female,Electronics,653,73,Store,64,Lausanne
242,39,Female,Fashion,969,77,Store,48,Zürich
243,24,Female,Travel,701,69,Store,90,Basel
244,31,Female,Grocery,583,33,Store,53,Lugano
245,54,Male,Fashion,688,7,Online,62,Lugano
246,50,Male,Grocery,686,5,Online,34,Lugano
247,48,Male,Fashion,793,49,Online,54,Lugano
248,34,Male,Travel,445,12,Online,50,Lugano
249,66,Female,Travel,897,50,Store,43,Basel
250,70,Male,Travel,178,7,Online,44,Zürich
251,31,Male,Grocery,263,9,Store,70,Bern
252,26,Female,Travel,870,62,Online,83,Lugano
253,49,Male,Electronics,232,18,Store,15,Basel
254,28,Female,Fashion,465,18,Online,4,Lausanne
255,47,Male,Fashion,697,98,Online,74,Lugano
256,22,Male,Fashion,145,99,Online,31,Basel
257,47,Female,Grocery,725,73,Store,11,Zürich
258,44,Female,Travel,423,57,Store,18,Geneva
259,55,Male,Fashion,620,65,Store,68,Lugano
260,27,Female,Grocery,926,75,Online,49,Lugano
261,26,Female,Fashion,763,26,Online,15,Geneva
262,59,Female,Travel,771,33,Online,40,Lausanne
263,51,Male,Electronics,560,11,Store,41,Lugano
264,41,Female,Travel,238,72,Online,29,Geneva
265,33,Male,Fashion,358,68,Online,67,Lausanne
266,50,Male,Grocery,131,60,Store,80,Lausanne
267,28,Female,Fashion,336,90,Store,64,Lausanne
268,59,Male,Grocery,633,34,Store,1,Basel
269,59,Male,Electronics,878,84,Store,88,Basel
270,34,Male,Travel,773,67,Online,71,Lugano
271,47,Male,Travel,243,14,Online,14,Basel
272,51,Male,Grocery,247,73,Online,91,Lausanne
273,50,Female,Travel,765,68,Online,53,Geneva
274,37,Female,Electronics,515,96,Store,91,Lausanne
275,55,Female,Grocery,570,76,Online,10,Basel
276,28,Male,Electronics,144,47,Store,5,Bern
277,46,Male,Fashion,751,16,Store,76,Lausanne
278,68,Female,Fashion,872,19,Store,0,Lugano
279,57,Female,Fashion,288,46,Store,51,Zürich
280,23,Male,Electronics,284,17,Online,76,Geneva
281,21,Male,Fashion,325,18,Store,26,Lausanne
282,61,Male,Grocery,532,26,Online,91,Bern
283,27,Male,Fashion,754,62,Online,63,Zürich
284,45,Male,Travel,949,22,Store,91,Bern
285,36,Male,Fashion,287,50,Online,48,Lugano
286,24,Male,Travel,656,92,Store,80,Lausanne
287,55,Male,Travel,175,12,Online,48,Geneva
288,37,Female,Travel,351,78,Store,90,Bern
289,19,Male,Grocery,844,2,Store,97,Geneva
290,44,Female,Grocery,929,55,Online,51,Zürich
291,60,Female,Fashion,926,81,Store,76,Bern
292,53,Male,Fashion,503,31,Online,66,Zürich
293,24,Female,Grocery,588,46,Store,82,Geneva
294,31,Male,Grocery,136,5,Online,75,Bern
295,44,Male,Fashion,394,48,Online,73,Lausanne
296,52,Female,Grocery,335,92,Online,5,Geneva
297,46,Male,Electronics,630,7,Store,48,Bern
298,25,Female,Fashion,368,94,Online,55,Lausanne
299,55,Female,Fashion,339,12,Store,19,Lausanne
300,59,Male,Travel,992,79,Store,5,Lugano
301,26,Female,Fashion,831,63,Online,19,Lugano
302,22,Female,Grocery,739,39,Store,46,Basel
303,32,Male,Fashion,880,23,Store,74,Geneva
304,53,Female,Electronics,134,20,Store,35,Zürich
305,22,Female,Grocery,211,77,Online,97,Geneva
306,49,Male,Travel,123,10,Store,62,Zürich
307,54,Male,Fashion,959,65,Online,20,Basel
308,36,Male,Electronics,873,65,Store,64,Basel
309,70,Female,Fashion,639,64,Online,38,Zürich
310,56,Female,Grocery,654,85,Online,94,Basel
311,20,Male,Electronics,144,8,Online,63,Bern
312,40,Male,Grocery,229,93,Online,54,Bern
313,56,Female,Fashion,770,10,Online,50,Lugano
314,42,Male,Travel,873,25,Store,34,Basel
315,53,Female,Travel,888,77,Online,5,Lausanne
316,51,Male,Electronics,588,80,Store,38,Zürich
317,45,Female,Fashion,895,17,Store,18,Zürich
318,48,Female,Travel,903,75,Store,100,Bern
319,62,Male,Travel,669,41,Online,23,Lugano
320,59,Male,Grocery,430,2,Store,47,Zürich
321,34,Female,Fashion,758,19,Store,1,Zürich
322,61,Female,Fashion,169,80,Store,97,Lausanne
323,67,Male,Fashion,227,20,Online,53,Zürich
324,21,Male,Electronics,544,99,Store,60,Lausanne
325,62,Female,Grocery,354,44,Online,97,Lausanne
326,18,Male,Travel,529,7,Store,92,Lugano
327,36,Female,Travel,523,89,Online,9,Bern
328,43,Female,Grocery,521,15,Online,88,Lausanne
329,18,Female,Electronics,368,30,Store,13,Bern
330,30,Male,Travel,885,45,Online,14,Basel
331,39,Female,Travel,802,88,Store,51,Basel
332,45,Male,Grocery,998,23,Store,76,Zürich
333,69,Female,Grocery,987,65,Store,72,Zürich
334,63,Female,Grocery,881,46,Store,71,Lugano
335,67,Female,Fashion,326,21,Store,1,Geneva
336,65,Male,Travel,688,81,Online,39,Zürich
337,44,Male,Fashion,568,5,Store,62,Lugano
338,69,Female,Grocery,843,52,Store,82,Geneva
339,60,Male,Grocery,645,59,Online,43,Bern
340,47,Male,Grocery,825,83,Online,5,Geneva
341,38,Female,Grocery,302,95,Online,9,Basel
342,52,Female,Travel,694,41,Online,62,Zürich
343,60,Male,Travel,437,17,Online,40,Lausanne
344,27,Male,Travel,373,99,Store,95,Lugano
345,41,Male,Fashion,178,63,Store,67,Lugano
346,54,Male,Electronics,928,34,Store,52,Zürich
347,55,Female,Electronics,175,59,Online,20,Lausanne
348,69,Female,Fashion,812,80,Store,54,Zürich
349,52,Female,Travel,646,72,Store,76,Lugano
350,57,Female,Fashion,237,85,Store,71,Zürich
351,70,Male,Travel,374,60,Store,45,Lugano
352,69,Male,Grocery,803,17,Online,73,Geneva
353,25,Male,Grocery,635,70,Store,73,Geneva
354,48,Male,Grocery,293,85,Store,91,Lugano
355,42,Female,Grocery,848,22,Store,56,Zürich
356,61,Female,Grocery,111,50,Online,38,Geneva
357,34,Male,Grocery,549,4,Store,68,Zürich
358,67,Female,Fashion,873,39,Store,45,Basel
359,67,Female,Grocery,976,54,Online,43,Lugano
360,58,Female,Electronics,314,11,Online,8,Lausanne
361,38,Female,Fashion,695,59,Online,43,Basel
362,18,Female,Fashion,754,73,Store,52,Bern
363,48,Male,Travel,552,79,Store,97,Zürich
364,30,Female,Travel,904,36,Online,7,Geneva
365,66,Female,Grocery,453,8,Online,63,Bern
366,67,Male,Grocery,854,70,Online,57,Geneva
367,63,Female,Fashion,809,99,Store,13,Bern
368,47,Female,Travel,671,2,Online,52,Lugano
369,46,Male,Travel,492,24,Store,63,Lausanne
370,19,Male,Grocery,688,54,Online,33,Basel
371,48,Male,Travel,214,46,Online,41,Zürich
372,22,Male,Fashion,608,33,Store,68,Bern
373,41,Male,Grocery,219,55,Online,4,Geneva
374,24,Female,Fashion,883,45,Store,27,Bern
375,69,Male,Fashion,907,52,Online,73,Zürich
376,59,Male,Electronics,533,57,Online,22,Bern
377,42,Male,Grocery,509,43,Store,23,Lausanne
378,23,Female,Grocery,796,59,Online,75,Bern
379,59,Female,Fashion,597,89,Store,45,Basel
380,63,Male,Electronics,933,88,Store,23,Lugano
381,33,Male,Grocery,174,57,Online,71,Lausanne
382,32,Male,Fashion,524,98,Store,63,Zürich
383,64,Male,Fashion,528,20,Store,19,Zürich
384,55,Female,Electronics,578,21,Online,88,Lugano
385,25,Female,Fashion,453,28,Store,81,Basel
386,30,Female,Fashion,144,2,Online,3,Lugano
387,68,Female,Fashion,271,59,Online,0,Lausanne
388,57,Male,Electronics,101,39,Store,35,Zürich
389,26,Female,Travel,208,89,Store,28,Geneva
390,34,Female,Travel,126,95,Store,1,Lugano
391,65,Male,Travel,304,84,Online,70,Zürich
392,56,Male,Travel,424,85,Store,81,Geneva
393,40,Female,Travel,613,49,Store,43,Geneva
394,46,Female,Travel,445,79,Store,53,Bern
395,23,Male,Travel,633,17,Store,10,Zürich
396,26,Male,Electronics,513,91,Online,87,Zürich
397,24,Male,Electronics,431,3,Online,65,Lausanne
398,43,Male,Fashion,716,77,Online,9,Bern
399,48,Male,Grocery,753,37,Store,88,Bern
400,22,Male,Fashion,715,44,Store,48,Zürich
401,42,Male,Fashion,944,93,Online,9,Zürich
402,46,Male,Grocery,341,30,Store,56,Zürich
403,46,Male,Fashion,240,60,Online,24,Zürich
404,19,Male,Travel,425,89,Store,30,Zürich
405,69,Female,Grocery,667,22,Online,53,Zürich
406,63,Male,Fashion,383,2,Online,71,Geneva
407,40,Female,Fashion,166,31,Store,84,Geneva
408,47,Male,Grocery,400,57,Online,50,Lugano
409,34,Female,Grocery,735,80,Store,72,Basel
410,33,Male,Grocery,862,6,Online,54,Basel
411,50,Male,Fashion,222,82,Store,35,Zürich
412,56,Female,Travel,841,6,Online,70,Bern
413,55,Female,Electronics,901,33,Online,47,Lausanne
414,26,Male,Electronics,644,31,Online,65,Zürich
415,37,Female,Electronics,800,2,Online,37,Bern
416,51,Female,Fashion,823,20,Online,39,Zürich
417,68,Male,Travel,427,0,Store,42,Lugano
418,64,Female,Electronics,237,62,Online,88,Zürich
419,66,Male,Travel,685,46,Online,0,Zürich
420,64,Female,Travel,530,31,Store,51,Lugano
421,23,Female,Grocery,296,24,Store,96,Bern
422,37,Male,Travel,326,40,Store,14,Bern
423,66,Female,Travel,376,1,Store,9,Lugano
424,31,Female,Travel,532,86,Online,15,Geneva
425,59,Female,Grocery,906,94,Store,64,Bern
426,52,Female,Fashion,609,67,Online,26,Basel
427,24,Female,Travel,349,7,Online,80,Lausanne
428,52,Male,Fashion,123,22,Store,7,Bern
429,36,Female,Electronics,118,11,Store,26,Lausanne
430,53,Female,Electronics,130,60,Store,8,Geneva
431,42,Male,Grocery,143,30,Online,77,Lugano
432,49,Male,Grocery,648,35,Online,75,Lugano
433,31,Female,Electronics,387,53,Online,78,Lugano
434,48,Female,Travel,774,16,Online,7,Geneva
435,32,Female,Grocery,813,18,Online,3,Geneva
436,52,Female,Travel,306,72,Store,87,Basel
437,48,Male,Travel,570,72,Online,100,Geneva
438,48,Female,Grocery,718,76,Online,47,Geneva
439,25,Male,Electronics,290,69,Store,55,Lausanne
440,42,Female,Grocery,137,13,Store,60,Bern
441,38,Female,Travel,651,22,Store,40,Lugano
442,25,Male,Electronics,629,35,Store,24,Zürich
443,37,Male,Electronics,200,81,Store,64,Basel
444,50,Female,Grocery,371,67,Store,49,Basel
445,63,Male,Grocery,128,20,Online,49,Geneva
446,34,Female,Fashion,501,71,Store,47,Lugano
447,38,Female,Grocery,534,4,Online,52,Lugano
448,67,Female,Fashion,886,73,Store,31,Geneva
449,46,Male,Fashion,701,8,Online,27,Bern
450,54,Male,Fashion,119,41,Online,51,Lausanne
451,22,Female,Travel,968,46,Online,46,Basel
452,58,Male,Electronics,630,1,Online,36,Lugano
453,38,Male,Electronics,677,91,Store,1,Bern
454,59,Female,Electronics,613,55,Online,12,Basel
455,49,Female,Grocery,922,14,Store,2,Geneva
456,67,Male,Grocery,564,50,Store,55,Zürich
457,40,Male,Fashion,864,97,Store,94,Bern
458,21,Male,Fashion,345,90,Online,72,Basel
459,49,Male,Travel,844,98,Online,12,Lausanne
460,41,Male,Electronics,485,21,Store,94,Zürich
461,65,Female,Travel,710,40,Online,13,Bern
462,18,Female,Travel,158,96,Online,62,Lausanne
463,54,Female,Travel,288,21,Online,13,Bern
464,46,Female,Fashion,292,39,Online,18,Lausanne
465,24,Male,Fashion,318,29,Store,97,Basel
466,56,Male,Travel,523,36,Store,78,Zürich
467,62,Female,Electronics,571,35,Store,62,Bern
468,46,Female,Grocery,709,45,Store,13,Lausanne
469,27,Female,Fashion,816,28,Store,9,Lugano
470,41,Female,Fashion,785,52,Store,94,Geneva
471,53,Female,Fashion,826,30,Online,29,Lausanne
472,38,Male,Fashion,496,42,Store,66,Lugano
473,61,Male,Grocery,121,62,Store,50,Geneva
474,22,Female,Electronics,125,68,Online,42,Basel
475,54,Male,Grocery,838,22,Store,61,Lugano
476,32,Female,Fashion,659,32,Store,96,Bern
477,54,Female,Travel,173,36,Online,15,Lugano
478,54,Male,Travel,358,12,Online,65,Basel
479,21,Male,Fashion,196,7,Online,88,Basel
480,69,Female,Travel,634,40,Online,51,Zürich
481,26,Male,Grocery,399,46,Store,35,Zürich
482,26,Male,Fashion,210,93,Store,42,Geneva
483,68,Female,Grocery,850,43,Store,1,Basel
484,62,Female,Fashion,747,3,Online,30,Bern
485,37,Male,Grocery,287,15,Store,73,Lugano
486,29,Male,Travel,166,83,Store,44,Bern
487,51,Male,Electronics,439,88,Store,65,Zürich
488,36,Female,Fashion,218,26,Store,72,Geneva
489,59,Female,Travel,130,100,Online,45,Zürich
490,43,Male,Travel,394,23,Store,5,Geneva
491,53,Male,Electronics,751,83,Store,33,Basel
492,53,Male,Electronics,521,3,Online,56,Basel
493,61,Male,Electronics,275,11,Store,97,Zürich
494,43,Male,Electronics,768,85,Online,53,Bern
495,50,Female,Travel,543,7,Online,92,Zürich
496,41,Male,Travel,136,44,Store,74,Bern
497,63,Female,Fashion,941,45,Online,55,Basel
498,47,Male,Travel,576,49,Store,46,Lausanne
499,35,Female,Fashion,491,69,Online,6,Lugano
500,37,Male,Travel,617,73,Online,0,Bern
501,57,Female,Fashion,749,11,Store,47,Geneva
502,26,Male,Fashion,335,33,Store,27,Lugano
503,52,Male,Travel,752,81,Online,51,Zürich
504,46,Male,Electronics,287,23,Store,97,Lausanne
505,45,Female,Fashion,241,7,Store,97,Basel
506,63,Female,Grocery,789,60,Store,98,Bern
507,67,Female,Electronics,977,74,Online,18,Basel
508,40,Male,Electronics,173,22,Store,73,Lausanne
509,25,Female,Travel,992,97,Store,68,Lugano
510,64,Male,Fashion,767,45,Store,37,Bern
511,28,Male,Travel,273,70,Store,88,Zürich
512,20,Male,Electronics,349,79,Store,4,Basel
513,58,Male,Travel,100,98,Online,34,Lausanne
514,59,Male,Electronics,385,58,Store,84,Lugano
515,27,Female,Grocery,237,34,Store,45,Lugano
516,38,Male,Grocery,295,30,Store,43,Lausanne
517,51,Male,Fashion,732,66,Store,58,Bern
518,49,Female,Grocery,849,96,Store,72,Basel
519,67,Female,Grocery,818,58,Online,59,Geneva
520,64,Female,Electronics,129,29,Online,21,Basel
521,34,Female,Grocery,160,79,Store,48,Zürich
522,55,Male,Fashion,452,40,Online,68,Geneva
523,53,Male,Grocery,318,66,Online,26,Lugano
524,27,Female,Fashion,919,91,Store,15,Zürich
525,57,Female,Electronics,430,50,Store,90,Basel
526,41,Male,Fashion,324,51,Store,17,Zürich
527,23,Male,Fashion,859,3,Online,87,Zürich
528,50,Male,Fashion,685,95,Store,99,Lausanne
529,61,Female,Electronics,909,26,Store,25,Basel
530,60,Male,Travel,564,64,Store,44,Lausanne
531,35,Female,Fashion,378,96,Store,11,Bern
532,25,Male,Travel,935,96,Store,8,Bern
533,68,Female,Fashion,653,99,Online,12,Bern
534,33,Male,Fashion,526,24,Online,7,Basel
535,37,Female,Travel,208,81,Store,36,Basel
536,56,Female,Electronics,308,92,Store,4,Geneva
537,62,Male,Travel,153,1,Online,40,Geneva
538,38,Male,Grocery,169,48,Online,38,Lausanne
539,54,Female,Travel,903,73,Online,41,Lugano
540,26,Female,Travel,261,38,Store,82,Geneva
541,34,Female,Fashion,791,11,Online,72,Basel
542,24,Female,Electronics,316,63,Store,97,Bern
543,26,Female,Electronics,630,41,Store,13,Basel
